COD_CONCESION,SECTOR,COD_SUMINISTRO,FECHA_ALTA_SUMINISTRO,FECHA_BAJA_SUMINISTRO,COD_TIPO_SUMINISTRO,NUM_VIVIENDAS,NUM_PERSONAS
VR,,1000573,2009-09-10,2017-04-21,SIN_CONT,,
VR,3.2.1,1000574,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000585,2009-09-10,2020-10-31,SIN_CONT,1.0,3.0
VR,3.2.1,1000588,2009-09-10,2021-12-31,SIN_CONT,1.0,3.0
VR,2.2,1000602,2009-09-10,,SIN_CONT,1.0,3.0
VR,2.2,1000611,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000615,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2,1000618,2009-09-10,,SIN_CONT,1.0,3.0
VR,2,1000620,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.1,1000633,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000635,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000636,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000637,2009-09-10,2010-06-01,SIN_CONT,,
VR,2.2,1000649,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000666,2009-09-10,,SIN_CONT,1.0,3.0
VR,2,1000679,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000687,2009-09-10,2013-12-31,SIN_CONT,,
VR,3.2.1,1000690,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000693,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000698,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000700,2009-09-10,2011-11-01,SIN_CONT,,
VR,2.1,1000706,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000711,2009-09-10,2011-06-01,SIN_CONT,,
VR,2.1,1000713,2009-09-10,2019-12-31,SIN_CONT,1.0,3.0
VR,3.2.1,1000717,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2,1000723,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.1,1000785,2009-09-10,,SIN_CONT,1.0,3.0
VR,2.2,1000799,2009-09-10,,SIN_CONT,1.0,3.0
