wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info,locations
35.79,8.8,13.1,14.7,28.4,2021-03-18T00:00:00+01:00,18.1,,36.0,3.8,1616025600000,0.0,387.5,,0.0,1019.0,0.0,-3.1,44.21,0.0,48.2,Partially cloudy,2.4,,"39.2210171,-3.6185337"
162.88,7.1,12.1,15.2,20.6,2021-03-19T00:00:00+01:00,14.1,,34.1,2.1,1616112000000,0.0,301.5,"Rain, Light Rain",0.0,1015.2,0.0,-0.6,59.32,0.0,,Partially cloudy,0.9,,"39.2210171,-3.6185337"
77.08,7.1,12.2,20.0,20.5,2021-03-20T00:00:00+01:00,19.6,,,2.2,1616198400000,0.0,419.4,Mist,0.0,1017.1,0.0,-2.9,50.87,0.0,,Clear,-1.7,,"39.2210171,-3.6185337"
185.0,7.6,14.1,20.0,13.0,2021-03-21T00:00:00+01:00,19.9,,,0.2,1616284800000,0.0,425.2,,0.0,1022.0,0.0,-4.1,45.28,0.0,,Clear,-1.6,,"39.2210171,-3.6185337"
137.9,8.5,16.2,15.1,12.5,2021-03-22T00:00:00+01:00,19.8,,40.0,-1.2,1616371200000,0.0,424.0,,0.0,1020.0,0.0,-1.2,54.17,0.0,,Partially cloudy,6.9,,"39.2210171,-3.6185337"
217.5,11.2,20.1,13.7,19.8,2021-03-23T00:00:00+01:00,20.7,,7.1,1.2,1616457600000,0.0,410.8,Mist,0.0,1022.2,0.0,-0.2,49.38,0.0,,Clear,,,"39.2210171,-3.6185337"
213.39,12.6,20.3,15.0,11.2,2021-03-24T00:00:00+01:00,7.8,,8.9,1.2,1616544000000,0.0,310.6,,0.0,1024.4,0.0,1.3,49.23,0.0,,Clear,6.9,,"39.2210171,-3.6185337"
241.88,13.5,20.9,14.8,11.2,2021-03-25T00:00:00+01:00,19.5,,35.0,2.4,1616630400000,0.0,386.2,,0.0,1023.6,0.0,2.7,50.58,0.0,,Partially cloudy,9.5,,"39.2210171,-3.6185337"
254.75,14.1,21.2,15.6,23.1,2021-03-26T00:00:00+01:00,17.1,,30.0,4.9,1616716800000,0.0,339.4,,0.0,1022.4,0.0,3.1,50.84,0.0,,Partially cloudy,,,"39.2210171,-3.6185337"
101.33,12.9,21.2,15.7,19.9,2021-03-27T00:00:00+01:00,18.6,,,4.9,1616803200000,0.0,398.1,Mist,0.0,1023.6,0.0,4.8,60.24,0.0,,Clear,3.9,,"39.2210171,-3.6185337"
65.3,13.7,23.8,14.7,18.5,2021-03-28T00:00:00+01:00,19.3,,,5.5,1616889600000,0.0,383.7,Mist,0.0,1025.4,0.0,4.8,62.04,0.0,,Clear,4.1,,"39.2210171,-3.6185337"
77.13,15.0,24.2,14.8,16.6,2021-03-29T00:00:00+02:00,15.3,,63.5,7.8,1616976000000,0.0,303.8,,0.0,1024.5,0.0,4.0,51.09,0.0,,Partially cloudy,6.1,,"39.2210171,-3.6185337"
75.0,14.7,23.7,14.7,24.3,2021-03-30T00:00:00+02:00,6.9,,98.0,8.2,1617062400000,0.0,239.0,,0.0,1023.4,0.0,5.2,57.05,0.0,,Overcast,6.2,,"39.2210171,-3.6185337"
76.71,15.8,26.9,14.3,17.4,2021-03-31T00:00:00+02:00,19.1,26.0,18.0,6.5,1617148800000,0.0,379.6,"Mist, Sky Unchanged",0.0,1019.0,0.0,1.7,42.82,0.0,,Clear,4.4,,"39.2210171,-3.6185337"
