Canonical,RowKey,INF_Label,INF_Value,STA_Label,Sector_Neta
TOTALIZADOR,2022-12-04 07:45:00+00:00,LS Urda,0.16659115,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 08:00:00+00:00,LS Urda,0.16971457,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 08:15:00+00:00,LS Urda,0.17327276,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 08:30:00+00:00,LS Urda,0.20143427,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 08:45:00+00:00,LS Urda,0.271754,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 09:00:00+00:00,LS Urda,0.2430299,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 09:15:00+00:00,LS Urda,0.27972245,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 09:30:00+00:00,LS Urda,0.3161931,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 09:45:00+00:00,LS Urda,0.38216105,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 10:00:00+00:00,LS Urda,0.22758383,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 10:15:00+00:00,LS Urda,0.28156576,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 10:30:00+00:00,LS Urda,0.2930485,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 10:45:00+00:00,LS Urda,0.26355708,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 11:00:00+00:00,LS Urda,0.22096607,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 11:15:00+00:00,LS Urda,0.19963482,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 11:30:00+00:00,LS Urda,0.27524626,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 11:45:00+00:00,LS Urda,0.2684017,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 12:00:00+00:00,LS Urda,0.28804514,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 12:15:00+00:00,LS Urda,0.28654724,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 12:30:00+00:00,LS Urda,0.2832828,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 12:45:00+00:00,LS Urda,0.24470209,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 13:00:00+00:00,LS Urda,0.26769948,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 13:15:00+00:00,LS Urda,0.30309567,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 13:30:00+00:00,LS Urda,0.26775864,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 13:45:00+00:00,LS Urda,0.27105904,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 14:00:00+00:00,LS Urda,0.33209002,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 14:15:00+00:00,LS Urda,0.25288373,11000 Carretera Urda,22110000
